Temp,Humd,Label
27,36,1
27,36,1
27,37,1
27,39,1
27,43,1
27,46,1
27,49,1
27,52,1
27,54,1
27,52,1
27,52,1
27,52,1
27,51,1
27,51,1
27,52,1
27,54,1
27,55,1
27,75,1
28,76,1
28,80,1
28,81,1
28,81,1
28,81,1
28,82,1
28,82,1
28,82,1
28,81,1
28,80,1
28,80,1
28,76,1
28,72,1
28,70,1
28,68,1
28,67,1
28,65,1
28,63,1
28,62,1
28,60,1
28,59,1
28,58,1
28,57,1
28,56,1
28,55,1
28,54,1
28,53,1
27,53,1
27,52,1
27,51,1
27,49,1
27,48,1
27,48,1
27,47,1
27,47,1
27,46,1
27,45,1
27,44,1
26,44,1
26,44,1
26,43,1
26,43,1
26,43,1
26,42,1
26,42,1
26,42,1
26,42,1
25,41,1
25,41,1
25,55,1
26,63,1
26,65,1
26,68,1
26,69,1
26,70,1
26,76,1
26,79,1
26,80,1
26,81,1
26,81,1
26,81,1
26,80,1
26,80,1
26,80,1
26,80,1
26,81,1
26,81,1
26,81,1
26,82,1
26,83,1
27,82,1
27,82,1
27,81,1
27,81,1
27,80,1
27,79,1
27,78,1
27,74,1
27,72,1
27,69,1
27,64,1
27,60,1
27,57,1
27,55,1
27,54,1
27,53,1
27,52,1
27,51,1
27,50,1
27,49,1
27,49,1
27,48,1
27,47,1
27,47,1
27,46,1
27,48,1
27,52,1
27,56,1
27,60,1
27,64,1
27,68,1
27,70,1
27,72,1
27,73,1
27,75,1
28,78,1
28,79,1
28,80,1
28,80,1
28,81,1
28,82,1
28,82,1
28,83,1
28,84,1
28,83,1
28,83,1
28,82,1
28,80,1
28,80,1
28,80,1
28,80,1
28,80,1
28,80,1
28,79,1
28,78,1
28,77,1
28,73,1
28,69,1
28,59,1
28,60,1
28,62,1
28,64,1
28,66,1
28,68,1
28,67,1
28,66,1
28,67,1
28,68,1
28,69,1
28,70,1
28,71,1
28,72,1
28,72,1
28,73,1
28,74,1
28,75,1
28,76,1
28,75,1
28,74,1
28,72,1
28,72,1
28,72,1
28,72,1
28,73,1
28,76,1
28,76,1
28,75,1
28,75,1
28,74,1
28,73,1
28,72,1
28,69,1
28,66,1
28,63,1
28,61,1
28,59,1
28,58,1
28,58,1
28,57,1
28,57,1
28,56,1
28,56,1
28,56,1
28,56,1
28,56,1
28,56,1
28,56,1
28,56,1
28,55,1
28,53,1
28,51,1
28,49,1
28,48,1
28,47,1
28,46,1
28,45,1
28,43,1
28,42,1
27,42,1
27,41,1
27,41,1
27,40,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,38,1
27,38,1
27,38,1
27,38,1
27,38,1
27,38,1
26,38,1
26,38,1
26,37,1
26,37,1
26,37,1
26,37,1
26,37,1
26,37,1
26,37,1
26,37,1
26,37,1
26,37,1
26,37,1
25,37,1
25,37,1
25,36,1
25,36,1
25,36,1
25,36,1
25,36,1
25,36,1
25,36,1
25,36,1
25,36,1
25,36,1
25,36,1
25,36,1
25,37,1
25,37,1
25,37,1
24,37,1
24,37,1
24,37,1
24,37,1
24,37,1
24,37,1
24,37,1
24,37,1
24,37,1
24,37,1
24,37,1
24,36,1
24,37,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,37,1
24,37,1
24,38,1
24,39,1
24,41,1
24,43,1
24,45,1
24,47,1
24,49,1
24,51,1
24,53,1
